,city,geq_n_appeals,appeals
0,Alpharetta,1,33.889175137008756
1,Alpharetta,2,14.778209752213217
2,Alpharetta,3,7.433603447468265
3,Alpharetta,4,4.018923602979062
4,Alpharetta,5,2.2670851093728044
5,Alpharetta,6,1.0820178931097475
6,Alpharetta,7,0.5995596983465268
7,Alpharetta,8,0.20141458616328634
8,Alpharetta,9,0.1030493231533093
9,Alpharetta,10,0.0234203007166612
10,Atlanta,1,40.63479825237728
11,Atlanta,2,21.96607555898227
12,Atlanta,3,12.206373682857876
13,Atlanta,4,6.76946800308404
14,Atlanta,5,3.553071189925469
15,Atlanta,6,1.83757388846055
16,Atlanta,7,0.7877152402981239
17,Atlanta,8,0.29812387561038295
18,Atlanta,9,0.09509123618607042
19,Atlanta,10,0.02505782575173477
20,Chattahoochee Hills,1,38.157430285915986
21,Chattahoochee Hills,2,22.13201553123897
22,Chattahoochee Hills,3,14.119308153900459
23,Chattahoochee Hills,4,9.601129544652313
24,Chattahoochee Hills,5,5.012354394634663
25,Chattahoochee Hills,6,0.953053300388281
26,Chattahoochee Hills,7,0.24708789269325804
27,Chattahoochee Hills,8,0.10589481115425345
28,Chattahoochee Hills,9,0.03529827038475115
29,Chattahoochee Hills,10,
30,College Park,1,25.375234521575983
31,College Park,2,12.804878048780488
32,College Park,3,6.801125703564728
33,College Park,4,4.151031894934333
34,College Park,5,1.8527204502814258
35,College Park,6,0.9615384615384616
36,College Park,7,0.2579737335834897
37,College Park,8,0.09380863039399624
38,College Park,9,0.02345215759849906
39,College Park,10,
40,East Point,1,29.374034003091193
41,East Point,2,13.709428129829984
42,East Point,3,6.298299845440495
43,East Point,4,2.8902627511591965
44,East Point,5,1.545595054095827
45,East Point,6,0.7032457496136012
46,East Point,7,0.25502318392581147
47,East Point,8,0.08500772797527048
48,East Point,9,0.03863987635239567
49,East Point,10,0.0077279752704791345
50,Fairburn,1,33.91026718198622
51,Fairburn,2,20.567971769450512
52,Fairburn,3,14.216098134767266
53,Fairburn,4,7.7465972105528484
54,Fairburn,5,3.646445975466308
55,Fairburn,6,1.7476054444631157
56,Fairburn,7,0.6385481431692153
57,Fairburn,8,0.1512350865400773
58,Fairburn,9,0.016803898504453033
59,Fairburn,10,
60,Hapeville,1,40.68912117692606
61,Hapeville,2,21.525358110723964
62,Hapeville,3,11.730545876887339
63,Hapeville,4,6.116918312040263
64,Hapeville,5,2.710027100271003
65,Hapeville,6,1.0452961672473868
66,Hapeville,7,0.5420054200542005
67,Hapeville,8,0.19357336430507163
68,Hapeville,9,0.07742934572202864
69,Hapeville,10,0.03871467286101432
70,Johns Creek,1,29.721826497713128
71,Johns Creek,2,12.596535952613031
72,Johns Creek,3,5.600959736072579
73,Johns Creek,4,2.699257704131364
74,Johns Creek,5,1.3533778210991978
75,Johns Creek,6,0.5660943240608832
76,Johns Creek,7,0.2849216465471995
77,Johns Creek,8,0.11621804003898928
78,Johns Creek,9,0.03748969033515783
79,Johns Creek,10,0.007497938067031567
80,Milton,1,35.82034964523444
81,Milton,2,15.624314241825763
82,Milton,3,6.663740765123253
83,Milton,4,2.794235973959476
84,Milton,5,1.2435081559505523
85,Milton,6,0.5120327700972862
86,Milton,7,0.22675736961451248
87,Milton,8,0.0731475385853266
88,Milton,9,0.01462950771706532
89,Milton,10,0.00731475385853266
90,Mountain Park,1,22.677165354330707
91,Mountain Park,2,7.4015748031496065
92,Mountain Park,3,1.889763779527559
93,Mountain Park,4,0.7874015748031495
94,Mountain Park,5,0.15748031496062992
95,Mountain Park,6,0.15748031496062992
96,Mountain Park,7,0.15748031496062992
97,Mountain Park,8,
98,Mountain Park,9,
99,Mountain Park,10,
100,Palmetto,1,22.954764196342637
101,Palmetto,2,9.865255052935515
102,Palmetto,3,5.245428296438884
103,Palmetto,4,2.550529355149182
104,Palmetto,5,0.6737247353224254
105,Palmetto,6,0.0962463907603465
106,Palmetto,7,0.04812319538017325
107,Palmetto,8,0.04812319538017325
108,Palmetto,9,
109,Palmetto,10,
110,Roswell,1,30.554842024145902
111,Roswell,2,12.920626765990239
112,Roswell,3,6.046108399691755
113,Roswell,4,2.9283329052144875
114,Roswell,5,1.4352684305163113
115,Roswell,6,0.7192396609298741
116,Roswell,7,0.260082198818392
117,Roswell,8,0.11238119702029284
118,Roswell,9,0.04816337015155407
119,Roswell,10,0.02889802209093244
120,Sandy Springs,1,38.32027257240204
121,Sandy Springs,2,19.41396933560477
122,Sandy Springs,3,10.507666098807496
123,Sandy Springs,4,5.792163543441227
124,Sandy Springs,5,3.110732538330494
125,Sandy Springs,6,1.6490630323679727
126,Sandy Springs,7,0.7529812606473595
127,Sandy Springs,8,0.293015332197615
128,Sandy Springs,9,0.08858603066439523
129,Sandy Springs,10,0.020442930153321975
130,South Fulton,1,31.379983652710923
131,South Fulton,2,15.311960766506221
132,South Fulton,3,7.4039596766869495
133,South Fulton,4,3.607755880483153
134,South Fulton,5,2.0002724548179094
135,South Fulton,6,1.123876123876124
136,South Fulton,7,0.43365725183907006
137,South Fulton,8,0.13849786577059303
138,South Fulton,9,0.05676142039778403
139,South Fulton,10,0.009081827263645445
140,Union City,1,33.01842229570147
141,Union City,2,19.20170051960321
142,Union City,3,9.045819555975438
143,Union City,4,4.75909305621162
144,Union City,5,2.6334435521965043
145,Union City,6,1.086443079829948
146,Union City,7,0.271610769957487
147,Union City,8,0.0944733112895607
148,Union City,9,0.03542749173358527
149,Union City,10,
